Disease,Medication
Pneumonia,"['Laxatives age:1-10', 'Pain relievers age:11-30', 'Warm baths age:31-60', 'High-fiber diet age:61-99']"
Dimorphic hemmorhoids(piles),"['Nitroglycerin age:1-10', 'Aspirin age:11-30', 'Beta-blockers age:31-60', 'Thrombolytic drugs age:61-99']"
Heart attack,"['Compression stockings age:1-10', 'Exercise age:11-30', 'Elevating the legs age:31-60', 'Laser treatments age:61-99']"
Varicose veins,"['Levothyroxine age:1-10', 'Antithyroid medications age:11-30', 'Beta-blockers age:31-60', 'Thyroid surgery age:61-99']"
Hypothyroidism,"['Antithyroid medications age:1-10', 'Radioactive iodine age:11-30', 'Thyroid surgery age:31-60', 'Corticosteroids age:61-99']"
Hyperthyroidism,"['Glucose tablets age:1-10', 'Candy or juice age:11-30', 'Glucagon injection age:31-60', 'Diazoxide age:61-99']"
Hypoglycemia,"['Pain relievers age:1-10', 'Exercise age:11-30', 'Hot and cold packs age:31-60', 'Physical therapy age:61-99']"
Osteoarthristis,"['NSAIDs age:1-10', 'Disease-modifying antirheumatic drugs (DMARDs) age:11-30', 'Biologics age:31-60', 'Joint replacement surgery age:61-99']"
Arthritis,"['Vestibular rehabilitation age:1-10', 'Canalith repositioning age:11-30', 'Medications for nausea age:31-60', 'Surgery age:61-99']"
(vertigo) Paroymsal Positional Vertigo,"['Vestibular rehabilitation age:1-10', 'Canalith repositioning age:11-30', 'Medications for nausea age:31-60', 'Surgery age:61-99']"
Acne,"['Antibiotics age:1-10', 'Pain relievers age:11-30', 'Antihistamines age:31-60', 'Topical treatments age:61-99']"
Urinary tract infection,"['Antibiotics age:1-10', 'Urinary analgesics age:11-30', 'Phenazopyridine age:31-60', 'Probiotics age:61-99']"
Psoriasis,"['Topical treatments age:1-10', 'Phototherapy age:11-30', 'Systemic medications age:31-60', 'Coal tar age:61-99']"
Impetigo,"['Topical antibiotics age:1-10', 'Oral antibiotics age:11-30', 'Antiseptics age:31-60', 'Warm compresses age:61-99']"
